Compound index,SMILES,Max(Brain/Blood),Reach time
1013-18F1,CN(C)c1ccc(/C=C/c2cn(CCF)nn2)cc1,1.6059701492537313,2min
1013-18F5,CC(=O)c1cc(/C=C/c2ccc(OCCCF)cc2)cc(C(C)=O)c1,2.6315789473684212,120min
1015-18F12a,CNc1ccc(/C=C/c2ccc(OCCOCCF)cc2)cc1,2.47452229299363,2min
1015-18F12b,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cc1,3.0833333333333335,2min
1015-18F12c,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCF)cc2)cc1,2.0465838509316767,2min
1015-18F12d,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCF)cc2)cc1,1.4629258517034067,2min
1019-18F3a,Nc1ccc(/N=C/c2ccc(F)cc2)cc1,0.45000000000000007,30min
1019-18F3b,CNc1ccc(/N=C/c2ccc(F)cc2)cc1,0.475,30min
1019-18F3c,CN(C)c1ccc(/N=C/c2ccc(F)cc2)cc1,0.2971887550200803,30min
1019-18F3d,Oc1ccc(/N=C/c2ccc(F)cc2)cc1,0.47058823529411764,30min
1019-18F3e,COc1ccc(/N=C/c2ccc(F)cc2)cc1,0.7200000000000001,30min
1019-18F3f,O=C(O)c1cc(/N=C/c2ccc(F)cc2)ccc1O,0.6511627906976745,30min
1026-218F,O=C(NC1CCN(Cc2ccc(F)cc2)CC1)c1ccc(I)cc1,104.61538461538463,240min
1035-18F19,FCCOc1ccc(CN2CCC3(CC2)OCc2ccccc23)cc1,12.944444444444445,30min
1035-18F23,FCCOCCOCCOc1ccc(CN2CCC3(CC2)OCc2ccccc23)cc1,2.939086294416244,2min
1039-18F10,FCCOCCOCCOc1ccc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1,1.7685950413223142,2min
1039-18F6,FCCOc1ccc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1,6.228260869565218,30min
1041-18F3d,Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cn1,3.0432098765432096,5min
1042-18FI,O=[N+]([O-])c1nccn1CC(O)CF,1.0833333333333335,180min
1042-18FII,O=[N+]([O-])c1nccn1CCF,0.96,60min
1042-18FIII,Cc1ncc([N+](=O)[O-])n1CCF,1.1666666666666667,180min
1043-125I-1,CS(=O)(=O)N1CCC(Oc2ccc(CC(=O)N3CCC(N4C(=O)CCc5ccccc54)CC3)c(OC/C=C/I)c2)CC1,0.08620689655172414,30min
1043-125I-2,CS(=O)(=O)N1CCC(Oc2ccc(CC(=O)N3CCC(N4C(=O)CCc5ccccc54)CC3)c(OC/C=C/I)c2)CC1,0.09090909090909091,15min
1043-18F3,CS(=O)(=O)N1CCC(Oc2ccc(CC(=O)N3CCC(N4C(=O)CCc5ccccc54)CC3)c(OCCF)c2)CC1,0.5,60min
1047-1-18FFDFrc,OC1COC(O)(CF)C(O)C1O,0.25925925925925924,60min
1059-18F7,O=C(O)CCCCCCCCCCCCCCc1ccc(OCCF)cc1,0.23076923076923075,120min
1065C-3-MFHA,CC(CCCCCCCCCCCCCCCF)CC(=O)O,0.5454545454545454,60min
1065C-5-MFHA,CC(CCCCCCCCCCCCCF)CCCC(=O)O,0.4285714285714286,60min
1065C-FPA,O=C(O)CCCCCCCCCCCCCCCCF,0.7096774193548387,60min
1066A-18Fendo-10a,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@H]43)C1C[C@H]1OC(c3ccoc3)O[C@]12C(=O)CF,1.4999999999999998,60min
1066A-18Fendo-10b,CC1(c2ccoc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CF)O1,1.8124999999999998,60min
1066A-4,CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)C1C(=O)CF,2.52,60min
1066A-5,CC(=O)[C@@]12OC(C)(c3cccc(F)c3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]12C,1.1914893617021278,60min
1066A-6,CC1(c2cccc(F)c2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CO)O1,1.3076923076923077,60min
1067A-18F-FENP,CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)C1C(=O)CF,2.52,60min
1067A-18F4,CC(=O)[C@@]12O[C@](C)(c3ccc(F)cc3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]12C,1.1914893617021278,60min
1067A-18F5,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1C[C@H]1O[C@@](C)(c3ccc(F)cc3)O[C@]12C(=O)CO,1.3076923076923077,60min
1067A-18FFENP,CO[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)C1C(=O)CF,2.52,60min
1075-16-18F2,O=C(O)CCSCCCCCCCCCCCCCF,1.4666666666666666,120min
1075-18-18F3,CCCCCCCCCC/C=C/CCCCSCCC(=O)O,1.162162162162162,120min
1075-18-18F4,O=C(O)CCSCCCCC#CCCCCCCCCCF,1.459183673469388,120min
1075-18-18F5,O=C(O)CCCCCCCCCCCCCCCCCCF,1.1379310344827587,30min
1075-18F-2,O=C(O)CCSCCCCCCCCCCCCF,1.4666666666666666,120min
1075-18F-3,O=C(O)CCSCCCC/C=C\CCCCCCCCF,1.162162162162162,120min
1075-18F-4,O=C(O)CCSCCCCCCCCCCCCCCF,1.459183673469388,120min
1075-18F-5,O=C(O)CCCCSCCCCCCCCCCCCF,1.1379310344827587,30min
1078-18F-2'-FCH2-MPTP,CN1CC=C(c2ccccc2CF)CC1,3.04,90min
1080-18F-AV-45(1)a,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,2.47452229299363,2min
1080-18F-AV-45,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,2.47452229299363,2min
1080-18F23,CNc1ccc(/C=C/c2ccc(OCCOCCOCCNC(=O)CO/N=C/c3ccc(OCCOCCOCCF)cc3)nc2)cc1,0.194331983805668,30min
1080-18F24,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCCNC(=O)CO/N=C/c3ccc(OCCOCCOCCF)cc3)nc2)cc1,0.3274021352313167,30min
1085-18F5,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,2.47452229299363,2min
1085-18F8a,CCNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCC(COCCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,0.25974025974025977,30min
1085-18F8b,CCNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,0.25757575757575757,30min
1085-18F8c,CCNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,0.27142857142857146,30min
1094-R18F4,N[C@H](Cc1cn(CCF)nn1)C(=O)O,0.14285714285714285,60min
1094-S18F4,N[C@H](Cc1cn(CCF)nn1)C(=O)O,0.21739130434782608,60min
1096-218F,CC(=O)OC[C@@]1(C)O[C@](C)(F)[C@](C)(F)[C@@](C)(OC(C)=O)[C@]1(C)OC(C)=O,2.142857142857143,120min
1099A-18F6,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.1276595744680851,60min
1111A-18F4b,NC1(C(=O)O)CCCC1F,0.7142857142857143,120min
1112A-2-18F-FBP,O=C(NC1CCN(Cc2ccccc2)CC1)c1cccc(F)c1,4.942857142857143,120min
1112B-2-18F3a,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1F,24.1875,120min
1119-2-18F,OCCF,1.0716374269005848,60min
1119-3-18F,OCCCF,1.5147928994082842,60min
1126-18F5a,CNc1ccc(-c2nc3ccc(OCCOCCF)cc3s2)cc1,3.0474777448071215,2min
1126-18F5b,CNc1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,0.8791732909379969,2min
1126-18F5c,CNc1ccc(-c2nc3ccc(OCCOCCOCCOCCOCCOCCF)cc3s2)cc1,0.8376623376623377,120min
1132-18F1,CN(CCF)c1ccc(/C=C/c2nc3ccccc3o2)cc1,1.2244897959183674,5min
1137-18Fendo10a,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@H]43)C1C[C@H]1OC(c3ccco3)O[C@]12C(=O)CF,1.4999999999999998,60min
1137-18Fendo10b,CC1(c2ccco2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CF)O1,1.8124999999999998,60min
1145A-11C3,COc1cccc(-c2cc3cn(C4CC(O)C(CO)O4)c(=O)nc3o2)c1,0.0,60min
1145A-18F2,O=c1nc2oc(-c3cccc(OCCF)c3)cc2cn1C1CC(O)C(CO)O1,0.0,60min
1146A-11C4,COc1ccc(-c2cc3cn(C4CC(O)C(CO)O4)c(=O)nc3o2)cc1,0.0,60min
1146A-18F5,O=c1nc2oc(-c3ccc(OCCF)cc3)cc2cn1C1CC(O)C(CO)O1,0.0,60min
1148-18F3e,CN(C)c1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,3.1575757575757577,30min
1148-18F4e,CNc1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,3.75,2min
1153B-F18,O=C[C@H](O)[C@@H](F)[C@H](O)[C@H](O)CO,1.16,120min
1161-18F17,CCOC(=O)CCC(C)CCCCF,1.1142857142857143,120min
1161-18F18,COC(=O)CCC(C)(C)CCCCF,0.11538461538461538,30min
1161-18F19,CC(CCCCF)CCC(=O)O,0.1948051948051948,5min
1161-18F22,CCCCC(F)CCC(=O)O,0.2765957446808511,60min
1161-18F26,CCCCCC(F)CC(=O)O,0.375,30min
1162-2-18FEtOH,OCCF,1.0716374269005848,60min
1162-3-18FPrOH,OCCCF,1.5147928994082842,60min
1164-1,C[C@H](c1ccccc1)n1cncc1C(=O)OCCF,0.8717948717948718,120min
1164-2,C[C@H](c1ccccc1)n1cncc1C(=O)OCCF,1.108695652173913,120min
1164-3,C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCF,0.8333333333333333,60min
1164-4,C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCCF,0.625,120min
1172-18F1a,CN(CCF)c1ccc(-c2cc3ccccc3[nH]2)cc1,1.7218934911242605,2min
1176-11C4,COc1ccc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,0.004137931034482759,60min
1176-11C6,COc1ccc(S(N)(=O)=O)cc1,0.030181086519114688,60min
1176-18F3,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(OCCF)cc2)cc1,0.006309148264984228,60min
1176-18F5,NS(=O)(=O)c1ccc(OCCF)cc1,0.014084507042253521,60min
1181A-18F1,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC,0.17721518987341772,60min
1181A-18F4,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,1.2703488372093024,5min
1184-18F24a,CNc1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cc1,1.7058823529411764,2min
1184-18F32a,CN(C)c1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cc1,1.632716049382716,2min
"1192B-18F-(2S,4R)4F-GLN",NC(=O)[C@H](F)C[C@H](N)C(=O)O,0.40625,60min
"1192B-18F-(2S,4R)4F-GLU",N[C@@H](C[C@@H](F)C(=O)O)C(=O)O,0.29411764705882354,60min
1198-5-HT1A,O=C(NCCN1CCN(c2cccc(CC(F)(F)F)n2)CC1)c1ccc(CF)cc1,2.2997084548104954,5min
1199-18F18E,CCOC(=O)CCC(C)(C)CCCCF,1.1142857142857143,120min
1199-18F18M,COC(=O)CCC(C)(C)CCCCF,0.11538461538461538,30min
1199-18F19,CC(CCCCF)CCC(=O)O,0.1948051948051948,5min
1199-18F22,CCCCC(F)CCC(=O)O,0.2765957446808511,60min
1199-18F26,CCCCCC(F)CC(=O)O,0.375,30min
1200-11C-4a,CNC(C)Cc1ccccc1,5.711538461538462,5min
1200-11C-4b,CNC(C)Cc1ccc2c(c1)OCO2,4.754901960784314,5min
1200-18F-2a,CC(N)Cc1ccccc1F,2.9791666666666665,60min
1200-18F-2b,CC(N)Cc1cc2c(cc1F)OCO2,2.5792393026941363,5min
1204A-cis-18F-FPro,O=C(O)[C@@H]1C[C@H](F)CN1,0.11146496815286623,30min
1204A-trans-18F-FPro,O=C(O)[C@@H]1C[C@@H](F)CN1,0.2136986301369863,120min
1208-18F-FTMA,C[N+](C)(C)c1ccc(-c2ccc(F)cc2)cc1,0.09090909090909091,60min
1211-18F,O=C(Nc1ccc(N2CCN(CCF)CC2)cc1)N[C@H]1C[C@H](C(=O)O)Nc2cc(Cl)cc(Cl)c21,1.2857142857142856,30min
1213-18F-L-FPTP,CC(=O)[C@@H](N)Cc1c[nH]c2ccc(OCCCF)cc12,0.4099099099099099,60min
1215-18F29,CNc1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cn1,0.7988165680473372,2min
1215-18F31,CN(C)c1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cn1,0.6928702010968921,2min
1215-18F32,CNc1ccc(-c2nc3cc(OCCF)ccc3o2)cn1,2.1517857142857144,2min
1215-18F33,CN(C)c1ccc(-c2nc3cc(OCCF)ccc3o2)cn1,2.0364145658263304,2min
1215-18F41,CNc1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cn1,0.4285714285714286,60min
1215-18F43,CN(C)c1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cn1,0.48548812664907653,60min
1215-18F44,CNc1ccc(-c2nc3ccc(OCCF)cc3s2)cn1,1.8259860788863111,2min
1221-18F-23,COc1cccc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC,14.705882352941176,180min
1221-18F-26b,COc1cccc(C(=O)NC2CC3CCCC(C2)N3Cc2ccc(F)cc2)c1OC,28.000000000000004,300min
1221-18F-34,COc1cc(Br)cc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC,10.0,300min
1233-5-18F-ADAM,CN(C)Cc1ccccc1Sc1cc(F)ccc1N,2.0849056603773586,30min
1234-fluorocyclocytidin,N=c1ccn2c(n1)O[C@@H]1[C@@H](O)[C@H](CO)O[C@@H]12,0.6666666666666666,120min
1234-fluorocytosine.arabinoside,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1.625,240min
1236-18F-5-MFHA,CC(CCCCCCCCCCCCF)CCCC(=O)O,0.4285714285714286,60min
1236-3-MFHA,CC(CCCCCCCCCCCCCCF)CC(=O)O,0.5454545454545454,60min
1236-FPA,O=C(O)CCCCCCCCCCCCCCCF,0.7096774193548387,60min
1237-18F-3,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)CC1C#Cc1ccc(-c2ccc(OCCF)cc2)cc1,0.056179775280898875,60min
1238-18F-1,CC(=O)[C@@H]1CCCC2C3C[C@@H](F)C4=CC(=O)CC[C@@]4(C)C3CC[C@]21C,0.7494407158836689,60min
1240-18F8a,CN(C)c1ccc(-c2cc(=O)c3cc(OCCF)ccc3o2)cc1,1.4892857142857143,2min
1240-18F8b,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCF)ccc3o2)cc1,1.6937799043062203,2min
1240-18F8c,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCOCCF)ccc3o2)cc1,1.4866666666666666,10min
1243-18F5,O=C(NCCF)c1c[nH]c2ccc(Cc3ccccc3)cc2c1=O,0.06666666666666667,30min
1247-618FFFuc,CC1(O)OC(C)(CF)C(C)(O)C(C)(O)C1(C)O,0.1842105263157895,60min
1255-618FFDF,OCC1(O)O[C@H](CF)[C@@H](O)C1O,0.7973856209150326,120min
1256-11C4a,CNC(C)Cc1ccccc1,5.711538461538462,5min
1256-11C4b,CNC(C)Cc1ccc2c(c1)OCO2,4.754901960784314,5min
1256-18F2a,CC(N)Cc1ccc(F)cc1,2.9791666666666665,60min
1256-18F2b,Cc1cc2c(cc1CC(C)N)OCO2,2.5792393026941363,5min
1257-18FI,Fc1ncnc2c1ncn2Cc1ccccc1,10.421052631578947,60min
